    --- fsxNet connected Systems as of 26 October 2020 ---

===============================================================================
Node BBS Name            Sysop              Address    
===============================================================================

NET 1 (21:1/xxx) Mystic BBS (BinkP)

100 Risa fsxHUB          Paul Hayton        agency.bbs.nz:24556
101 Agency BBS           Paul Hayton        agency.bbs.nz:24555   
102 Error 404 BBS        Todd Zieman        error404bbs.ddns.net:404  
103 Micro Link BBS       Lloyd Russell      -- Private Node --
104 Shenk's Express BBS  Carol Shenkenberger shenks.dyndns.org 
105 Fluph BBS            Leslie Given       fluph.zapto.org  
106 BlackICE BBS         Vitus Zeel         blackice.bbsindex.de  
107 The ByteXchange BBS  Chad Adams         bbs.thebytexchange.com  
109 Freeway BBS          Tony Langdon       freeway.vkradio.com
110 AmigaXess            Ingo Juergensmann  ftn.amigaxess.de
111 Another Droid BBS    Andreas Apostolou  andr01d.zapto.org:9999
112 Black Flag BBS       Hawk Hubbard       blackflag.acid.org:28  
113 Athelstan BBS        Lance Vavricka     athelstan.fsxnet.nz
114 Throwback BBS        Todd Yatzook       bbs.throwbackbbs.com  
115 1st Choice Core      Ian Segers         1stchoicecore.co.nz
116 sOUNDGARDEn          Marco Reparon      -- Private Node --
117 Mystic Dreams BBS    Mark Iezzi         mysticdreams.dyndns.org:24   
118 Crystal Peak BBS     Will Du Chene      crystalp.duckdns.org  
119 Sysgod BBS           Scott Little       ftn.sysgod.org   
121 Xibalba BBS          Bryan Ashby        xibalba.l33t.codes:44510
122 Necronomicon BBS     Carlos Roldan      necrobbs.ddns.net
123 Thiaramus' Den       Roman Litvinenko   thiaramus.fsxnet.nz
124 apernevan.tk BBS     Andrei Pernevan    apernevan.tk
124 CrNet BBS            John Gonzales      bbs.crnet.net
126 Wunderlust BBS       Andrew Pamment     wunderlust.ddns.net:2023
127 Capital Station      Gregory Deyss      csbbs.dyndns.org  
128 The OuijaBoard BBS   Jeff Smith         bbs.ouijabrd.net 
129 SpaceSST BBS         Luc McCarragher    mccarragher.org  
130 Tiny's BBS           Shawn Highfield    tinysbbs.com:3023
131 Weather Station HUB  Mark Hofmann       bbs.weather-station.org   
132 Weather Station BBS  Mark Hofmann       bbs.weather-station.org  
133 The Parity Error     Ian McLaughlin     theparityerror.com  
134 Mystic Prison Board  Ruben Figueroa     pbmystic.rdfig.net:24   
135 Lair of the Wolveri  Kevin Taylor       bbs.r2lotw.com 
136 force9 BBS           David Stephens     bbs.force9.org
137 Digital Distortion   Eric Oulashin      digdist.synchro.net
138 Electronic Warfare   Nicholas Loch      bbs.ewbbs.net 
139 Retro16 BBS          David Florey       retro16.fsxnet.nz
140 Daves BBS            David Smith        davesbbs.com
141 Pie33 BBS            Moises Aranas      pie33.com:2223 
143 The Bridge BBS       Tony Langdon       bridge.vkradio.com 
144 PBBS WHQ Support     Ozz Nixon          exchangebbs.com:38400 
145 Mystic Pi BBS        Brian Wallace      bcw142.zapto.org   
146 Saturn's Orbit BBS   Flavio Bessa       saturnsorbit.hopto.org 
147 The Comm's Nut BBS   Danny Moss         tcnbbs.fsxnet.nz:2323
150 Sotano Msx BBS       Pepe Diaz          -- Private Node --
151 Geek Sphere BBS      Vasco Costa        bbs.geeksphere.tk:2023
